"user_id","favorite_count","grade","item_count","interest","review_count","comment_count","follower_count","pay_count","parcel_post_count","transfer_count","chat_count"
2487730,1899,7673,431,31681,775,529,0,575,0,35,130
1462217,799,5520,433,16794,570,250,0,942,0,57,11
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
5051200,254,692,77,6462,74,0,0,196,8,40,0
969061,562,1725,452,19160,175,89,0,6,63,2,81
9698825,719,2485,830,2068,254,409,0,213,0,7,58
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
1462217,799,5520,433,16794,570,250,0,942,0,57,11
9698825,719,2485,830,2068,254,409,0,213,0,7,58
4776936,210,532,20,1053,54,47,0,115,0,0,8
9698825,719,2485,830,2068,254,409,0,213,0,7,58
4776936,210,532,20,1053,54,47,0,115,0,0,8
4776936,210,532,20,1053,54,47,0,115,0,0,8
1462217,799,5520,433,16794,570,250,0,942,0,57,11
4776936,210,532,20,1053,54,47,0,115,0,0,8
4776936,210,532,20,1053,54,47,0,115,0,0,8
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
4776936,210,532,20,1053,54,47,0,115,0,0,8
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
4776936,210,532,20,1053,54,47,0,115,0,0,8
9698825,719,2485,830,2068,254,409,0,213,0,7,58
9698825,719,2485,830,2068,254,409,0,213,0,7,58
9698825,719,2485,830,2068,254,409,0,213,0,7,58
6948949,406,1227,309,568,125,172,0,222,0,0,5
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
1382005,7,138,9,307,14,58,0,3,2,0,1
1382005,7,138,9,307,14,58,0,3,2,0,1
3880725,0,10,20,361,1,1,0,1,0,0,0
3959593,98,1813,29,1158,182,164,0,39,29,0,26
1462217,799,5520,433,16794,570,250,0,942,0,57,11
1382005,7,138,9,307,14,58,0,3,2,0,1
12398974,20,20,72,35,2,0,0,0,0,0,0
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
1462217,799,5520,433,16794,570,250,0,942,0,57,11
8105166,388,868,1787,846,88,24,0,47,229,1,0
9698825,719,2485,830,2068,254,409,0,213,0,7,58
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
9698825,719,2485,830,2068,254,409,0,213,0,7,58
1462217,799,5520,433,16794,570,250,0,942,0,57,11
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
74344938,812,70,326,986,7,5,0,9,0,0,0
74344938,812,70,326,986,7,5,0,9,0,0,0
74344938,812,70,326,986,7,5,0,9,0,0,0
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
3067996,131,5103,45,4366,513,224,0,7,0,0,202
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
9698825,719,2485,830,2068,254,409,0,213,0,7,58
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
851056,91,60,22,457,6,0,0,0,0,0,5
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
9698825,719,2485,830,2068,254,409,0,213,0,7,58
74344938,812,70,326,986,7,5,0,9,0,0,0
1382005,7,138,9,307,14,58,0,3,2,0,1
74344938,812,70,326,986,7,5,0,9,0,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
2593283,4226,10403,5924,84351,1055,502,0,0,0,0,294
8105166,388,868,1787,846,88,24,0,47,229,1,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3846821,2083,2166,297,29113,229,391,0,75,653,18,41
1462217,799,5520,433,16794,570,250,0,942,0,57,11
223348,691,2234,2049,9541,224,106,0,1,0,2,0
8105166,388,868,1787,846,88,24,0,47,229,1,0
9698825,719,2485,830,2068,254,409,0,213,0,7,58
77082811,0,0,2,2,0,1,0,0,0,0,0
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
76633207,369,911,337,442,92,1,0,0,0,0,0
3723020,289,2872,107,4449,290,12,0,200,285,26,94
3247363,1872,6472,6557,23278,660,267,0,0,0,0,278
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
12398974,20,20,72,35,2,0,0,0,0,0,0
1462217,799,5520,433,16794,570,250,0,942,0,57,11
2347538,510,1229,435,1052,127,23,0,81,0,0,2
8229427,47,75,62,136,8,7,0,2,12,2,0
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
10934396,3,20,3,11,2,1,0,0,0,0,0
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
75293282,9,12,91,24,2,1,0,5,5,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
2347538,510,1229,435,1052,127,23,0,81,0,0,2
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
4776936,210,532,20,1053,54,47,0,115,0,0,8
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
4180346,18,0,50,141,0,1,0,1,0,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
12583660,2,0,8,7,0,3,0,0,0,0,0
74344938,812,70,326,986,7,5,0,9,0,0,0
3959593,98,1813,29,1158,182,164,0,39,29,0,26
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
3492118,0,0,10,3,0,1,0,1,0,0,0
74344938,812,70,326,986,7,5,0,9,0,0,0
8105166,388,868,1787,846,88,24,0,47,229,1,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
990572,56,223,405,1380,24,0,0,16,22,0,3
1462217,799,5520,433,16794,570,250,0,942,0,57,11
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
76202806,1,0,1,13,0,0,0,0,0,0,0
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
8105166,388,868,1787,846,88,24,0,47,229,1,0
74344938,812,70,326,986,7,5,0,9,0,0,0
77035169,4,10,81,6,1,0,0,0,0,0,1
1462217,799,5520,433,16794,570,250,0,942,0,57,11
4049935,1183,1014,467,46582,105,774,0,14,175,2,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
75023182,26,347,1066,121,35,1,0,26,62,0,0
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
75343498,149,201,253,548,23,0,0,50,0,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
75470918,592,932,5573,1629,95,4,0,55,0,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
9698825,719,2485,830,2068,254,409,0,213,0,7,58
12936131,903,523,1339,1114,54,2,0,69,255,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
1462217,799,5520,433,16794,570,250,0,942,0,57,11
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
12428397,0,0,14,1,0,3,0,0,0,0,0
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
2593283,4226,10403,5924,84351,1055,502,0,0,0,0,294
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3723020,289,2872,107,4449,290,12,0,200,285,26,94
2593283,4226,10403,5924,84351,1055,502,0,0,0,0,294
223348,691,2234,2049,9541,224,106,0,1,0,2,0
8105166,388,868,1787,846,88,24,0,47,229,1,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
75335649,448,225,581,373,23,4,0,38,0,0,0
6303957,1300,5204,5944,8063,529,224,0,0,0,0,129
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
74344938,812,70,326,986,7,5,0,9,0,0,0
9698825,719,2485,830,2068,254,409,0,213,0,7,58
76633207,369,911,337,442,92,1,0,0,0,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
9975820,9,131,57,24,14,3,0,32,0,0,0
6787880,1812,7242,18124,12018,756,124,0,525,263,113,16
74344938,812,70,326,986,7,5,0,9,0,0,0
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
9698825,719,2485,830,2068,254,409,0,213,0,7,58
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
1462217,799,5520,433,16794,570,250,0,942,0,57,11
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
851056,91,60,22,457,6,0,0,0,0,0,5
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
851056,91,60,22,457,6,0,0,0,0,0,5
76633207,369,911,337,442,92,1,0,0,0,0,0
851056,91,60,22,457,6,0,0,0,0,0,5
2593283,4226,10403,5924,84351,1055,502,0,0,0,0,294
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
12936131,903,523,1339,1114,54,2,0,69,255,0,0
76633207,369,911,337,442,92,1,0,0,0,0,0
11212582,46,1438,2,217,144,28,0,0,0,0,151
77035169,4,10,81,6,1,0,0,0,0,0,1
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
6303957,1300,5204,5944,8063,529,224,0,0,0,0,129
77035169,4,10,81,6,1,0,0,0,0,0,1
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
851056,91,60,22,457,6,0,0,0,0,0,5
8105166,388,868,1787,846,88,24,0,47,229,1,0
77035169,4,10,81,6,1,0,0,0,0,0,1
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3247363,1872,6472,6557,23278,660,267,0,0,0,0,278
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
77035169,4,10,81,6,1,0,0,0,0,0,1
76633207,369,911,337,442,92,1,0,0,0,0,0
76633207,369,911,337,442,92,1,0,0,0,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
1462217,799,5520,433,16794,570,250,0,942,0,57,11
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
8105166,388,868,1787,846,88,24,0,47,229,1,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
12936131,903,523,1339,1114,54,2,0,69,255,0,0
3931736,2120,3252,2053,32794,351,441,0,166,0,16,3
75335649,448,225,581,373,23,4,0,38,0,0,0
3931736,2120,3252,2053,32794,351,441,0,166,0,16,3
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
4776936,210,532,20,1053,54,47,0,115,0,0,8
2829097,339,594,17,33653,66,257,0,59,0,1,3
1895904,2,80,5,1198,8,3,0,0,3,0,0
3723020,289,2872,107,4449,290,12,0,200,285,26,94
7234565,191,1118,1286,4835,114,2,0,29,166,0,14
1462217,799,5520,433,16794,570,250,0,942,0,57,11
4776936,210,532,20,1053,54,47,0,115,0,0,8
74392660,48,1032,3,163,103,1,0,1,0,0,0
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
2347538,510,1229,435,1052,127,23,0,81,0,0,2
1462217,799,5520,433,16794,570,250,0,942,0,57,11
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
2347538,510,1229,435,1052,127,23,0,81,0,0,2
75335649,448,225,581,373,23,4,0,38,0,0,0
3595101,4,74,50,443,8,134,0,2,0,0,0
2593283,4226,10403,5924,84351,1055,502,0,0,0,0,294
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
75335649,448,225,581,373,23,4,0,38,0,0,0
3723020,289,2872,107,4449,290,12,0,200,285,26,94
75766846,3,0,20,7,0,0,0,1,0,0,0
9512144,0,0,1,4,0,0,0,0,0,0,0
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
12140989,35,80,64,61,8,3,0,6,0,0,0
3595101,4,74,50,443,8,134,0,2,0,0,0
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
77304563,1,0,2,6,0,3,0,0,0,0,1
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
4018755,4671,1984,5193,64736,203,222,0,18,0,16,1
76952499,1,0,12,2,0,0,0,0,0,0,0
7234565,191,1118,1286,4835,114,2,0,29,166,0,14
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
4421086,1690,1846,252,9871,188,276,0,151,0,9,37
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
2347538,510,1229,435,1052,127,23,0,81,0,0,2
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
1393711,18853,18768,14662,1570833,1931,954,0,241,114,3,9
76633207,369,911,337,442,92,1,0,0,0,0,0
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
76633207,369,911,337,442,92,1,0,0,0,0,0
2589142,277,1162,295,26248,121,353,0,19,0,1,5
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
653144,5635,2168,455,151045,219,255,0,21,0,1,4
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
5579889,5001,8509,133,84498,900,21345,0,430,0,131,5
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
9698825,719,2485,830,2068,254,409,0,213,0,7,58
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2868383,4126,4641,8209,43282,474,233,0,115,2192,29,0
6627565,37,4536,13,343,452,1,0,36,3,0,145
10905372,16,230,14,24,23,6,0,0,0,0,4
415386,21,234,673,2167,25,289,0,27,8,0,1
8365314,35,237,277,118,24,4,0,29,4,0,13
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
74392660,48,1032,3,163,103,1,0,1,0,0,0
6948949,406,1227,309,568,125,172,0,222,0,0,5
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
75335649,448,225,581,373,23,4,0,38,0,0,0
9698825,719,2485,830,2068,254,409,0,213,0,7,58
6972746,3692,7526,2530,36944,776,828,0,325,0,10,13
1462217,799,5520,433,16794,570,250,0,942,0,57,11
1358510,1228,2106,100,27142,223,431,0,232,9,1,4
2593283,4226,10403,5924,84351,1055,502,0,0,0,0,294
6303957,1300,5204,5944,8063,529,224,0,0,0,0,129
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
2614074,539,428,1679,22801,43,204,0,25,0,0,2
12936131,903,523,1339,1114,54,2,0,69,255,0,0
2347538,510,1229,435,1052,127,23,0,81,0,0,2
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
77304563,1,0,2,6,0,3,0,0,0,0,1
77304563,1,0,2,6,0,3,0,0,0,0,1
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
1462217,799,5520,433,16794,570,250,0,942,0,57,11
2723062,9558,10918,295,55628,1105,140,0,540,1113,0,1
9464815,136,751,108,258,76,123,0,129,0,0,5
2347538,510,1229,435,1052,127,23,0,81,0,0,2
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
77137658,0,0,1,0,0,0,0,0,0,0,0
1462217,799,5520,433,16794,570,250,0,942,0,57,11
11181474,139,1170,244,331,118,18,0,71,0,0,1
20993,541,486,2,25581,49,201,0,6,9,1,1
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
3682152,3721,8165,4208,47893,883,1049,0,1088,231,298,41
6787880,1812,7242,18124,12018,756,124,0,525,263,113,16
4421086,1690,1846,252,9871,188,276,0,151,0,9,37
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
10197556,5649,26531,595,11355,2661,1056,0,1526,0,11,1022
